Width,Height,Label
0.1504491017964072,0.2789115646258503,Zari
0.14820359281437126,0.28741496598639454,Tyson
0.2245508982035928,0.39285714285714285,Simone
0.15868263473053892,0.39965986394557823,Kylie
0.15419161676646706,0.4812925170068027,Zendaya
0.20733532934131738,0.27380952380952384,Beiber
0.21781437125748504,0.2942176870748299,Monroe
0.11526946107784432,0.25170068027210885,Diamond
0.20958083832335328,0.25,Oprah
0.22080838323353294,0.32482993197278914,Markle
0.5748502994011976,0.5697278911564626,bot
0.7357784431137725,0.6683673469387755,npc
0.5059880239520959,0.5680272108843537,anime
0.5097305389221557,0.5204081632653061,fantasia
0.5232035928143712,0.6700680272108843,westworld
0.4880239520958084,0.304421768707483,PS3
0.5583832335329342,0.6989795918367347,wwe
0.5988023952095808,0.6615646258503401,neuron
0.5561377245508982,0.564625850340136,silicon
0.343562874251497,0.2925170068027211,gucci
0.29191616766467066,0.6530612244897959,prada
0.42290419161676646,0.6224489795918368,lion
0.592814371257485,0.5918367346938775,tigress
0.5471556886227545,0.6819727891156463,synth
0.31362275449101795,0.5102040816326531,matrix
0.8226047904191617,0.6224489795918368,stranger
0.5808383233532934,0.6054421768707483,traffic
0.40194610778443113,0.6054421768707483,violent
0.38398203592814373,0.6649659863945578,PG
0.5404191616766467,0.608843537414966,merch
0.3967065868263473,0.4846938775510204,email
0.5209580838323353,0.5170068027210885,block
0.5067365269461078,0.5425170068027211,crypto
0.47604790419161674,0.42346938775510207,comp
0.15868263473053892,0.28401360544217685,Zari
0.20209580838323354,0.23299319727891157,Tyson
0.19386227544910178,0.4098639455782313,Simone
0.13697604790419163,0.43197278911564624,Kylie
0.1377245508982036,0.43537414965986393,Zendaya
0.2088323353293413,0.3010204081632653,Beiber
0.21332335329341318,0.21428571428571427,Monroe
0.07784431137724551,0.16666666666666666,Diamond
0.1474550898203593,0.21258503401360543,Oprah
0.19461077844311378,0.28061224489795916,Markle
0.6803892215568862,0.30272108843537415,bot
0.5591317365269461,0.5697278911564626,npc
0.8300898203592815,0.576530612244898,anime
0.6160179640718563,0.5255102040816326,fantasia
0.36826347305389223,0.5425170068027211,westworld
0.49476047904191617,0.6020408163265306,PS3
0.41317365269461076,0.6241496598639455,wwe
0.37649700598802394,0.41496598639455784,neuron
0.5344311377245509,0.532312925170068,silicon
0.6414670658682635,0.7653061224489796,gucci
0.9977544910179641,0.9608843537414966,prada
0.3787425149700599,0.6751700680272109,lion
0.5583832335329342,0.6037414965986394,tigress
0.3869760479041916,0.4489795918367347,synth
0.49251497005988026,0.4931972789115646,matrix
0.5711077844311377,0.5629251700680272,stranger
0.46107784431137727,0.7636054421768708,traffic
0.7522455089820359,0.7159863945578231,violent
0.6826347305389222,0.5085034013605442,PG
0.6848802395209581,0.47959183673469385,merch
0.2215568862275449,0.21258503401360543,email
0.37949101796407186,0.5952380952380952,block
0.07859281437125748,0.20408163265306123,crypto
0.6534431137724551,0.5901360544217688,comp
0.15419161676646706,0.38095238095238093,Zari
0.20134730538922155,0.33503401360544216,Tyson
